course_id,class_id,level_id,semester,section
701,w,5,2010_summer,U
702,s,5,2010_summer,U
703,l,5,2010_summer,U
704,g,5,2010_summer,U
705,s,4,2010_summer,R
706,l,4,2010_summer,R
707,g,4,2010_summer,R
708,s,4,2010_fall,M
709,r,2,2010_fall,A
710,w,2,2010_fall,A
711,s,2,2010_fall,A
712,l,2,2010_fall,A
713,g,2,2010_fall,A
714,r,3,2010_fall,F
715,w,3,2010_fall,F
716,s,3,2010_fall,F
717,l,3,2010_fall,F
718,g,3,2010_fall,F
719,r,3,2010_fall,G
720,w,3,2010_fall,G
721,s,3,2010_fall,G
722,l,3,2010_fall,G
723,g,3,2010_fall,G
724,r,4,2010_fall,L
725,w,4,2010_fall,L
726,s,4,2010_fall,L
727,l,4,2010_fall,L
728,g,4,2010_fall,L
729,r,4,2010_fall,M
730,w,4,2010_fall,M
731,l,4,2010_fall,M
732,g,4,2010_fall,M
733,r,4,2010_fall,P
734,w,4,2010_fall,P
735,s,4,2010_fall,P
736,l,4,2010_fall,P
737,g,4,2010_fall,P
738,r,4,2010_fall,Q
739,w,4,2010_fall,Q
740,s,4,2010_fall,Q
741,l,4,2010_fall,Q
742,g,4,2010_fall,Q
743,r,4,2010_fall,R
744,w,4,2010_fall,R
745,s,4,2010_fall,R
746,l,4,2010_fall,R
747,g,4,2010_fall,R
748,s,4,2010_fall,E
749,r,5,2010_fall,S
750,w,5,2010_fall,S
751,s,5,2010_fall,S
752,l,5,2010_fall,S
753,g,5,2010_fall,S
754,r,5,2010_fall,T
755,w,5,2010_fall,T
756,s,5,2010_fall,T
757,l,5,2010_fall,T
758,g,5,2010_fall,T
759,r,5,2010_fall,U
760,w,5,2010_fall,U
761,s,5,2010_fall,U
762,l,5,2010_fall,U
763,g,5,2010_fall,U
764,r,2,2011_spring,A
765,w,2,2011_spring,A
766,s,2,2011_spring,A
767,l,2,2011_spring,A
768,g,2,2011_spring,A
769,r,3,2011_spring,A
770,r,3,2011_spring,H
771,l,3,2011_spring,G
772,r,3,2011_spring,F
773,w,3,2011_spring,F
774,s,3,2011_spring,F
775,l,3,2011_spring,F
776,g,3,2011_spring,F
777,r,3,2011_spring,G
778,w,3,2011_spring,G
779,s,3,2011_spring,G
780,l,3,2011_spring,G
781,g,3,2011_spring,G
782,r,4,2011_spring,M
783,w,4,2011_spring,M
784,s,4,2011_spring,M
785,l,4,2011_spring,M
786,g,4,2011_spring,M
787,r,4,2011_spring,P
788,w,4,2011_spring,P
789,s,4,2011_spring,P
790,l,4,2011_spring,P
791,g,4,2011_spring,P
792,r,4,2011_spring,Q
793,w,4,2011_spring,Q
794,s,4,2011_spring,Q
795,l,4,2011_spring,Q
796,g,4,2011_spring,Q
797,r,5,2011_spring,S
798,w,5,2011_spring,S
799,s,5,2011_spring,S
800,l,5,2011_spring,S
801,g,5,2011_spring,S
802,r,5,2011_spring,T
803,w,5,2011_spring,T
804,s,5,2011_spring,T
805,l,5,2011_spring,T
806,g,5,2011_spring,T
807,r,5,2011_spring,U
808,w,5,2011_spring,U
809,s,5,2011_spring,U
810,l,5,2011_spring,U
811,g,5,2011_spring,U
812,s,5,2011_spring,X
813,w,4,2011_spring,L
814,s,4,2011_spring,L
815,l,4,2011_spring,L
816,g,4,2011_spring,L
817,r,4,2011_spring,L
818,r,4,2011_spring,R
819,g,4,2011_spring,R
820,w,4,2011_spring,R
821,s,4,2011_spring,R
822,l,4,2011_spring,R
845,w,3,2011_summer,F
846,r,3,2011_summer,F
847,g,3,2011_summer,F
848,s,3,2011_summer,F
849,l,3,2011_summer,F
850,r,3,2011_summer,G
851,w,3,2011_summer,G
852,g,3,2011_summer,G
853,s,3,2011_summer,G
854,l,3,2011_summer,G
855,w,4,2011_summer,M
856,r,4,2011_summer,M
857,g,4,2011_summer,M
858,s,4,2011_summer,M
859,l,4,2011_summer,M
860,r,4,2011_summer,P
861,w,4,2011_summer,P
862,g,4,2011_summer,P
863,s,4,2011_summer,P
864,l,4,2011_summer,P
865,r,4,2011_summer,R
866,w,4,2011_summer,R
867,g,4,2011_summer,R
868,w,4,2011_summer,Q
869,r,4,2011_summer,Q
870,g,4,2011_summer,Q
871,s,4,2011_summer,Q
872,l,4,2011_summer,Q
873,r,5,2011_summer,T
874,w,5,2011_summer,T
875,g,5,2011_summer,T
876,s,5,2011_summer,T
877,l,5,2011_summer,T
878,w,5,2011_summer,S
879,r,5,2011_summer,S
880,g,5,2011_summer,S
881,s,5,2011_summer,S
882,l,5,2011_summer,S
883,r,5,2011_summer,X
884,w,5,2011_summer,X
885,g,5,2011_summer,X
886,s,5,2011_summer,X
887,l,5,2011_summer,X
888,w,5,2011_summer,U
889,r,5,2011_summer,U
890,g,5,2011_summer,U
891,s,5,2011_summer,U
892,l,5,2011_summer,U
893,s,5,2011_summer,Z
894,l,5,2011_summer,Z
912,r,3,2011_fall,F
913,w,3,2011_fall,F
914,s,3,2011_fall,F
915,l,3,2011_fall,F
916,g,3,2011_fall,F
917,r,3,2011_fall,G
918,w,3,2011_fall,G
919,s,3,2011_fall,G
920,l,3,2011_fall,G
921,g,3,2011_fall,G
922,r,4,2011_fall,M
923,w,4,2011_fall,M
924,s,4,2011_fall,M
925,l,4,2011_fall,M
926,g,4,2011_fall,M
927,r,4,2011_fall,P
928,w,4,2011_fall,P
929,s,4,2011_fall,P
930,l,4,2011_fall,P
931,g,4,2011_fall,P
932,r,4,2011_fall,Q
933,w,4,2011_fall,Q
934,s,4,2011_fall,Q
935,l,4,2011_fall,Q
936,g,4,2011_fall,Q
937,r,4,2011_fall,R
938,w,4,2011_fall,R
939,s,4,2011_fall,R
940,l,4,2011_fall,R
941,g,4,2011_fall,R
942,r,5,2011_fall,S
943,w,5,2011_fall,S
944,s,5,2011_fall,S
945,l,5,2011_fall,S
946,g,5,2011_fall,S
947,r,5,2011_fall,T
948,w,5,2011_fall,T
949,s,5,2011_fall,T
950,l,5,2011_fall,T
951,g,5,2011_fall,T
952,r,5,2011_fall,U
953,w,5,2011_fall,U
954,s,5,2011_fall,U
955,l,5,2011_fall,U
956,g,5,2011_fall,U
957,s,5,2011_fall,X
958,r,3,2012_spring,A
959,w,3,2012_spring,A
960,s,3,2012_spring,A
961,l,3,2012_spring,A
962,g,3,2012_spring,A
963,r,3,2012_spring,F
964,w,3,2012_spring,F
965,s,3,2012_spring,F
966,l,3,2012_spring,F
967,g,3,2012_spring,F
968,r,3,2012_spring,G
969,w,3,2012_spring,G
970,s,3,2012_spring,G
971,l,3,2012_spring,G
972,g,3,2012_spring,G
973,r,3,2012_spring,H
974,w,3,2012_spring,H
975,s,3,2012_spring,H
976,l,3,2012_spring,H
977,g,3,2012_spring,H
978,r,4,2012_spring,M
979,w,4,2012_spring,M
980,s,4,2012_spring,M
981,l,4,2012_spring,M
982,g,4,2012_spring,M
983,r,4,2012_spring,P
984,w,4,2012_spring,P
985,s,4,2012_spring,P
986,l,4,2012_spring,P
987,g,4,2012_spring,P
988,r,4,2012_spring,Q
989,w,4,2012_spring,Q
990,s,4,2012_spring,Q
991,l,4,2012_spring,Q
992,g,4,2012_spring,Q
993,r,4,2012_spring,R
994,w,4,2012_spring,R
995,s,4,2012_spring,R
996,l,4,2012_spring,R
997,g,4,2012_spring,R
998,r,5,2012_spring,S
999,w,5,2012_spring,S
1000,s,5,2012_spring,S
1001,l,5,2012_spring,S
1002,g,5,2012_spring,S
1003,r,5,2012_spring,T
1004,w,5,2012_spring,T
1005,s,5,2012_spring,T
1006,l,5,2012_spring,T
1007,g,5,2012_spring,T
1008,r,5,2012_spring,U
1009,w,5,2012_spring,U
1010,s,5,2012_spring,U
1011,l,5,2012_spring,U
1012,g,5,2012_spring,U
1015,s,5,2012_spring,X
1018,s,3,2012_spring,H
1019,l,3,2012_spring,H
1020,r,5,2012_spring,X
1021,w,5,2012_spring,X
1022,l,5,2012_spring,X
1023,g,5,2012_spring,X
1024,r,3,2012_summer,F
1025,w,3,2012_summer,F
1026,s,3,2012_summer,F
1027,l,3,2012_summer,F
1028,g,3,2012_summer,F
1029,r,3,2012_summer,G
1030,w,3,2012_summer,G
1031,s,3,2012_summer,G
1032,l,3,2012_summer,G
1033,g,3,2012_summer,G
1034,r,3,2012_summer,H
1035,w,3,2012_summer,H
1036,s,3,2012_summer,H
1037,l,3,2012_summer,H
1038,g,3,2012_summer,H
1039,r,4,2012_summer,M
1040,w,4,2012_summer,M
1041,s,4,2012_summer,M
1042,l,4,2012_summer,M
